minecraft-4-11-sickles-B31-A23_1366.1	"1: <Builder>
2: Mission
3: has
4: started.
"
minecraft-4-11-sickles-B31-A23_1366.2	"1: <Architect>
2: I
"
minecraft-4-11-sickles-B31-A23_1366.3	"1: <Architect>
2: am
3: back
"
minecraft-4-11-sickles-B31-A23_1366.4	"1: <Builder>
2: hello
"
minecraft-4-11-sickles-B31-A23_1366.5	"1: <Architect>
2: so
3: this
4: is
5: only
6: orange
"
minecraft-4-11-sickles-B31-A23_1366.6	"1: <Builder>
2: got
3: it
"
minecraft-4-11-sickles-B31-A23_1366.7	"1: <Architect>
2: go
3: to
4: the
5: middle
6: of
7: a
8: side,
9: and
10: place
11: a
12: block
13: one
14: row
15: inward
"
minecraft-4-11-sickles-B31-A23_1366.8	"1: [Builder
2: puts
3: down
4: a
5: orange
6: block
7: at
8: X:0
9: Y:1
10: Z:-4]
"
minecraft-4-11-sickles-B31-A23_1366.9	"1: <Architect>
2: place
3: one
4: inward
5: on
6: the
7: side
8: of
9: that
10: block.
"
minecraft-4-11-sickles-B31-A23_1366.10	"1: [Builder
2: puts
3: down
4: a
5: orange
6: block
7: at
8: X:0
9: Y:1
10: Z:-3]
"
minecraft-4-11-sickles-B31-A23_1366.11	"1: <Architect>
2: yes
"
minecraft-4-11-sickles-B31-A23_1366.12	"1: <Architect>
2: place
3: one
4: on
5: top
6: of
7: that,
"
minecraft-4-11-sickles-B31-A23_1366.13	"1: [Builder
2: puts
3: down
4: a
5: orange
6: block
7: at
8: X:0
9: Y:2
10: Z:-3]
"
minecraft-4-11-sickles-B31-A23_1366.14	"1: <Architect>
2: we
3: are
4: making
5: another
6: stair
7: case
"
minecraft-4-11-sickles-B31-A23_1366.15	"1: <Architect>
2: one
3: on
4: the
5: side
6: of
7: that
8: block
"
minecraft-4-11-sickles-B31-A23_1366.16	"1: [Builder
2: puts
3: down
4: a
5: orange
6: block
7: at
8: X:0
9: Y:2
10: Z:-2]
"
minecraft-4-11-sickles-B31-A23_1366.17	"1: <Architect>
2: one
3: on
4: top
"
minecraft-4-11-sickles-B31-A23_1366.18	"1: [Builder
2: puts
3: down
4: a
5: orange
6: block
7: at
8: X:0
9: Y:3
10: Z:-2]
"
minecraft-4-11-sickles-B31-A23_1366.19	"1: <Architect>
2: and
3: one
4: outward
5: from
6: that
7: top
8: block
"
minecraft-4-11-sickles-B31-A23_1366.20	"1: [Builder
2: puts
3: down
4: a
5: orange
6: block
7: at
8: X:0
9: Y:3
10: Z:-1]
"
minecraft-4-11-sickles-B31-A23_1366.21	"1: <Architect>
2: that
3: part
4: is
5: done.
"
minecraft-4-11-sickles-B31-A23_1366.22	"1: <Architect>
2: three
3: more
4: blocks
"
minecraft-4-11-sickles-B31-A23_1366.23	"1: <Architect>
2: 4
3: more
"
minecraft-4-11-sickles-B31-A23_1366.24	"1: <Builder>
2: okay
"
minecraft-4-11-sickles-B31-A23_1366.25	"1: <Architect>
2: so
3: they
4: are
5: all
6: floating.
"
minecraft-4-11-sickles-B31-A23_1366.26	"1: <Builder>
2: where?
"
minecraft-4-11-sickles-B31-A23_1366.27	"1: [Builder
2: puts
3: down
4: a
5: orange
6: block
7: at
8: X:0
9: Y:4
10: Z:-1]
"
minecraft-4-11-sickles-B31-A23_1366.28	"1: [Builder
2: puts
3: down
4: a
5: orange
6: block
7: at
8: X:0
9: Y:4
10: Z:0]
"
minecraft-4-11-sickles-B31-A23_1366.29	"1: [Builder
2: picks
3: up
4: a
5: orange
6: block
7: at
8: X:0
9: Y:4
10: Z:-1]
"
minecraft-4-11-sickles-B31-A23_1366.30	"1: <Builder>
2: here?
"
minecraft-4-11-sickles-B31-A23_1366.31	"1: <Architect>
2: no
3: not
4: quite
5: theres
6: none
7: there.
"
minecraft-4-11-sickles-B31-A23_1366.32	"1: <Architect>
2: The
3: keyboard
4: on
5: the
6: laptop
7: is
8: slow
9: so
10: bear
11: with
12: me
"
minecraft-4-11-sickles-B31-A23_1366.33	"1: [Builder
2: picks
3: up
4: a
5: orange
6: block
7: at
8: X:0
9: Y:4
10: Z:0]
"
minecraft-4-11-sickles-B31-A23_1366.34	"1: <Builder>
2: okay,
3: I'll
4: wait
"
minecraft-4-11-sickles-B31-A23_1366.35	"1: <Architect>
2: stand
3: on
4: the
5: stair
6: top
7: and
8: look
9: foward
"
minecraft-4-11-sickles-B31-A23_1366.36	"1: <Builder>
2: which
3: way
4: is
5: forward?
"
minecraft-4-11-sickles-B31-A23_1366.37	"1: <Architect>
2: if
3: you
4: were
5: going
6: up
7: the
8: stairs
"
minecraft-4-11-sickles-B31-A23_1366.38	"1: <Architect>
2: yep!
"
minecraft-4-11-sickles-B31-A23_1366.39	"1: <Architect>
2: so
3: the
4: first
5: block
6: will
7: be
8: floating
9: one
10: above
11: the
12: plate,
13: and
14: one
15: away
16: fron
17: the
18: stair
19: case,
20: in
21: the
22: same
23: row
24: as
25: the
26: staircase.
"
minecraft-4-11-sickles-B31-A23_1366.40	"1: [Builder
2: puts
3: down
4: a
5: orange
6: block
7: at
8: X:0
9: Y:1
10: Z:0]
"
minecraft-4-11-sickles-B31-A23_1366.41	"1: <Architect>
2: this
3: is
4: the
5: same
6: row
7: you
8: are
9: looking
10: down
"
minecraft-4-11-sickles-B31-A23_1366.42	"1: [Builder
2: puts
3: down
4: a
5: orange
6: block
7: at
8: X:0
9: Y:2
10: Z:0]
"
minecraft-4-11-sickles-B31-A23_1366.43	"1: [Builder
2: picks
3: up
4: a
5: orange
6: block
7: at
8: X:0
9: Y:1
10: Z:0]
"
minecraft-4-11-sickles-B31-A23_1366.44	"1: <Builder>
2: there?
"
minecraft-4-11-sickles-B31-A23_1366.45	"1: <Architect>
2: put
3: on
4: on
5: the
6: front
7: of
8: that
9: block
"
