lpp_1943.1	"s1p: 
s1c: 
s1o: 
s1t: 
"	"s1p: publication-91
s1c: chapter
s1o: ordinal-entity
s1t: thing
"
lpp_1943.12	"s12s: 
s12p2: 
s12f: 
s12h: 
s12p: 
s12a: 
s12u: 
s12p3: 
"	"s12s: say-91
s12p2: person
s12f: frighten-01
s12h: hat
s12p: person
s12a: any
s12u: umr-unknown
s12p3: person
"
lpp_1943.12	"s12s: 
s12p2: 
s12f: 
s12h: 
s12p: 
s12a: 
s12u: 
s12p3: 
"	"s12s: say-91
s12p2: person
s12f: frighten-01
s12h: hat
s12p: person
s12a: any
s12u: umr-unknown
s12p3: person
"
lpp_1943.21	"s21h: 
s21a: 
s21c: 
s21i: 
s21p: 
s21a2: 
s21l: 
s21p2: 
s21a3: 
"	"s21h: have-reason-91
s21a: and
s21c: choose-01
s21i: i
s21p: profession
s21a2: another
s21l: learn-01
s21p2: pilot-01
s21a3: airplane
"
lpp_1943.21	"s21h: 
s21a: 
s21c: 
s21i: 
s21p: 
s21a2: 
s21l: 
s21p2: 
s21a3: 
"	"s21h: have-reason-91
s21a: and
s21c: choose-01
s21i: i
s21p: profession
s21a2: another
s21l: learn-01
s21p2: pilot-01
s21a3: airplane
"
lpp_1943.21	"s21h: 
s21a: 
s21c: 
s21i: 
s21p: 
s21a2: 
s21l: 
s21p2: 
s21a3: 
"	"s21h: have-reason-91
s21a: and
s21c: choose-01
s21i: i
s21p: profession
s21a2: another
s21l: learn-01
s21p2: pilot-01
s21a3: airplane
"
lpp_1943.21	"s21h: 
s21a: 
s21c: 
s21i: 
s21p: 
s21a2: 
s21l: 
s21p2: 
s21a3: 
"	"s21h: have-reason-91
s21a: and
s21c: choose-01
s21i: i
s21p: profession
s21a2: another
s21l: learn-01
s21p2: pilot-01
s21a3: airplane
"
lpp_1943.22	"s22a: 
s22f: 
s22i: 
s22o: 
s22p2: 
s22w: 
s22u: 
s22g: 
"	"s22a: and
s22f: fly-01
s22i: i
s22o: over
s22p2: part
s22w: world
s22u: useful-05
s22g: geography
"
lpp_1943.22	"s22a: 
s22f: 
s22i: 
s22o: 
s22p2: 
s22w: 
s22u: 
s22g: 
"	"s22a: and
s22f: fly-01
s22i: i
s22o: over
s22p2: part
s22w: world
s22u: useful-05
s22g: geography
"
lpp_1943.23	"s23p: 
s23d: 
s23i: 
s23c: 
s23n: 
s23s: 
s23n2: 
s23g: 
"	"s23p: possible-01
s23d: distinguish-01
s23i: i
s23c: country
s23n: name
s23s: state
s23n2: name
s23g: glance-01
"
lpp_1943.23	"s23p: 
s23d: 
s23i: 
s23c: 
s23n: 
s23s: 
s23n2: 
s23g: 
"	"s23p: possible-01
s23d: distinguish-01
s23i: i
s23c: country
s23n: name
s23s: state
s23n2: name
s23g: glance-01
"
