Abstract Roleset Grouping,Abstract Roleset,Roleset description,numbered args,role descriptions,,Notes to appear in editor,Notes for this sheet
"The following are subgroups that come from the abstract concept menu in the current UMR tool. This page contains the abstract rolesets, which are subdivided into reifications of roles, discourse relation reifications, non-verbal predicate rolesets, and implicit rolesets.

For abstract rolesets: Column A is group names, column B is the roleset name, column C is the roleset's description, column D is the roleset's argument numbers, column 3 is the number argument's description.

**note: Column B should be the definitive list of rolesets-- I've removed a few that were in the current list in the editor, and added a few.",,,,,,,
-91: reifications:,have-actor-91,reification of :actor,ARG1,event,,,
,,,ARG2,actor,,,
,have-co-actor-91,reification of :co-actor,ARG1,event,,,
,,,ARG2,co-actor,,,
,have-undergoer-91,reification of :undergoer,ARG1,event,,,
,,,ARG2,undergoer,,,
,have-theme-91,reification of :theme,ARG1,event,,,
,,,ARG2,theme,,,
,have-experiencer-91,reification of :experiencer,ARG1,event/state,,replace with have-experience-91,
,,,ARG2,experiencer,,,
,have-force-91,reification of :force,ARG1,event,,,
,,,ARG2,force,,,
,have-causer-91,reification of :causer,ARG1,event,,,
,,,ARG2,causer,,,
,have-stimulus-91,reification of :stimulus,ARG1,event/state,,replace with have-experience-91,
,,,ARG2,stimulus,,,
,have-companion-91,reification of :companion,ARG1,event,,,
,,,ARG2,companion,,,
,have-affectee-91,reification of :affectee,ARG1,event,,,
,,,ARG2,affectee,,,
,have-recipient-91,reification of :recipient,ARG1,event,,,
,,,ARG2,recipient,,,
,have-temporal-91,reification of :temporal,ARG1,event,,,
,,,ARG2,temporal,,,
,have-instrument-91,reification of :instrument,ARG1,event,,,
,,,ARG2,instrument,,,
,have-manner-91,reification of :manner,ARG1,event,,,
,,,ARG2,manner,,,
,have-place-91,reification of :place,ARG1,event/entity,,,
,,,ARG2,location,,,
,have-direction-91,reification of :direction,ARG1,event/entity,,,
,,,ARG2,direction,,,
,have-path-91,reification of :path,ARG1,event/entity,,,
,,,ARG2,path,,,
,have-goal-91,reification of :goal,ARG1,event/entity,,,
,,,ARG2,goal,,,
,have-start-91,reification of :start,ARG1,event/entity,,,
,,,ARG2,start,,,
,have-source-91,reification of :souce,ARG1,event/entity,,,
,,,ARG2,source,,,
,have-extent-91,reification of :extent,ARG1,event/entity,,,
,,,ARG2,extent,,,
,have-quant-91,reification of :quant,ARG1,event/entity,,,
,,,ARG2,"quantity (numerical or not, how much/how many)",,,
,,,ARG3,"degree mention modifying quantity, thing quantified (e.g., more, fewer, too, so, at least, not quite, almost)",,,
,,,ARG4,compared to,,,
,,,ARG5,"superlative, reference to superset",,,
,,,ARG6,"consequence, result of quantity",,,
,have-degree-92,reification of :degree,ARG1,event,,,
,,,ARG2,"intensifier, downtoner, or equal",,,
,have-frequency-91,reification of :frequency,ARG1,event,,,
,,,ARG2,frequency,,,
,have-duration-91,reification of :duration,ARG1,event,,,
,,,ARG2,duration,,,
,have-purpose-91,reification of :purpose,ARG1,event/entity,,,
,,,ARG2,purpose,,,
,have-cause-91,reification of :cause,ARG1,event,,,
,,,ARG2,cause ,,,
,have-reason-91,reification of :reason,ARG1,event,,,
,,,ARG2,reason,,,
,have-part-91,reification of :part,ARG1,entity,,,
,,,ARG2,part,,,
,have-group-91,reification of :group,ARG1,entity,,,
,,,ARG2,group,,,
,have-material-91,reification of :material,ARG1,entity,,,
,,,ARG2,material,,,
,have-topic-91,reification of :topic,ARG1,event/entity,,,
,,,ARG2,topic,,,
,have-vocative-91,reification of :vocative,ARG1,proposition,,,**just added this
,,,ARG2,vocative,,,
,have-medium-91,reification of :medium,ARG1,event/entity,,,
,,,ARG2,medium,,,
,have-age-91,reification of :age,ARG1,entity,,,
,,,ARG2,age,,,
,have-example-91,reification of :example,ARG1,event/entity,,,
,,,ARG2,example,,,
,have-mod-91,"reification of :mod, non-verbal clause predicate for property predication",ARG1,event/entity,,,"this to be listed both in reifications list and non-verbal predicates list? (If there are not 2 separate lists, then only list once, with non-verbal preds.)"
,,,ARG2,modifier,,,
