Group,role,inverse,Notes to appear in tool,Notes for this sheet
"The following are subgroups that come from the Roles menu in the current UMR tool. I've broken them down into clusters that naturally go together: participant roles, non-participant roles, numbered args/ops, and discourse relation roles.

For Roles: Column A is group names, column B is the primary role name, column C is the role's inverse role, and Column D is any notes that should appear in a pop up or something when an annotator hovers over a role. 

**note: Columns B and C should be the definitive list of roles-- I've added/removed any extraneous.",,,,
Participant roles:,:actor,:actor-of,reification: have-actor-91,
,:co-actor,:co-actor,reification: have-co-actor-91,new as of oct 2024
,:undergoer,:undergoer-of,reification: have-undergoer-91,
,:theme,:theme-of,reification: have-theme-91,
,:recipient,:recipient-of,reification: have-recipient-91,
,:force,:force-of,reification: have-force-91,
,:causer,:causer-of,reification: have-causer-91,
,:experiencer,:experiencer-of,reification: have-experiencer-91,
,:stimulus,:stimulus-of,reification: have-stimulus-91,
,:instrument,:instrument-of,reification: have-instrument-91,
,:companion,:companion-of,reification: have-companion-91,
,:material,:material-of,reification: have-material-91,
,:place,:place-of,reification: have-place-91,
,:start,:start-of,reification: have-start-91,
,:source,:source-of,reification: have-source-91,
,:goal,:goal-of,reification: have-goal-91,
,:affectee,:affectee-of,reification: have-affectee-91,
,:cause ,:cause-of,reification: have-cause-91,
,:manner,:manner-of,reification: have-manner-91,
,:reason,:reason-of,reification: have-reason-91,
,:purpose,:purpose-of,reification: have-purpose-91,
,:result,:result-of,reification: have-result-91,new as of oct 2024
,:temporal,:temporal-of,reification: have-temporal-91,
,:extent,:extent-of,reification: have-extent-91,
,:other-role,:other-role-of,reification: have-other-role-91,
,,,,
Non-participant roles,:direction,:direction-of,reification: have-direction-91,
,:path,:path-of,reification: have-path-91,
,:quant,:quant-of,reification: have-quant-91,
,:duration,:duration-of,reification: have-duration-91,
,:frequency,:frequency-of,reification: have-frequency-91,
,:mod,:mod-of,reification: have-mod-91,
,:topic,:topic-of,reification: have-topic-91,
,:vocative,:vocative-of,reificaiton: have-vocative-91,
,:medium,:medium-of,reification: have-medium-91,
,:possessor,:possessor-of,reification: have-poss-91,"Make sure Jin's script doesn't still convert these to "":possession"", which is what appeared in the 1.0 release (it made the relationship backwards)"
,:part,:part-of,reification: have-part-91,
,:group,:group-of,reification: have-group-91,
,:age,:age-of,reification: have-age-91,
,:example,:example-of,reification: have-example-91,
,:ord,:ord-of,reification: have-ord-91,
,:list-item,:list-item-of,reification: have-list-item-91,
,,,,
NE sub-roles,:name,:name-of,"reification: have-name-91
Use for Named Entities.",
,:wiki,,Use for Named Entities.,
,,,,
Modal roles,:modal-predicate,,takes an event variable as its value,(:modal-strength is listed in the attribute sheet)
,:quote,,takes an event variable as its value,
,,,,
Numbered Args/ops,:ARG0,:ARG0-of,,
,:ARG1,:ARG1-of,,
,:ARG2,:ARG2-of,,
,:ARG3,:ARG3-of,,
,:ARG4,:ARG4-of,,
,:ARG5,:ARG5-of,,
,:ARG6,:ARG6-of,,
,:op1,:op1-of,,
,:op2,:op2-of,,
,:op3,:op3-of,,
,:op4,:op4-of,,
,:op5,:op5-of,,
,:op6,:op6-of,,
,:op7,:op7-of,,
,:op8,:op8-of,,
,:op9,:op9-of,,
,:op10,:op10-of,,
,,,,
Discourse relation roles:,:apprehensive,:apprehensive-of,reification: have-apprehensive-91,
,:condition,:condition-of,reification: have-condition-91,
,:pure-addition,:pure-addition-of,reification: have-pure-addition-91,
,:substitute,:substitute-of,reification: have-subsitute-91,
,:concession,:concession-of,reification: have-concession-91,
,:concessive-condition,:concessive-condition-of,reification: have-concessive-condition-91,
,:subtraction,:subtraction-of,reification: have-subtraction-91,
,,,,
Nonprototypical Predication roles: ,:identity,,,"not implemented yet, to be proposed in triage meetings"
,:role,,,
,,,,
Spatial roles: ,:size,,reification: have-size-91,
,:color,,reification: have-color-91,
,:configuration,,reification: have-configuration-91,
,:orientation,,reification: have-orientation-91,
,:anchor,,reification: have-anchor-91,
,:axis,,reification: have-axis-91,
